variant,seed,best_epoch,event_macro_f1,event_accuracy,harm_pr_auc,harm_prevalence,epoch,sec
baseline,0,48,0.7376120668428499,0.8726617985395618,0.3552041541140447,0.04127906976744186,48,25.6
baseline,1,68,0.7369688805712941,0.8711613484045213,0.3548756097958687,0.04127906976744186,68,34.3
baseline,2,79,0.7410524009686849,0.8744623387016105,0.36363990772231497,0.04127906976744186,79,38.9
baseline,3,74,0.7484838036132628,0.8716614984495349,0.3522984974829414,0.04127906976744186,74,36.5
baseline,4,41,0.7423500992395681,0.8668600580174052,0.3314473038370246,0.04127906976744186,41,22.5
baseline_ablation,0,51,0.7346545903711593,0.8691607482244673,0.33317630428805645,0.04127906976744186,51,26.6
baseline_ablation,1,67,0.734908594331105,0.8699609882964889,0.3409358518082338,0.04127906976744186,67,33.3
baseline_ablation,2,41,0.7346295271028197,0.8686605981794538,0.3260149002290737,0.04127906976744186,41,20.7
baseline_ablation,3,86,0.739474501127103,0.8716614984495349,0.3349543018107469,0.04127906976744186,86,38.6
baseline_ablation,4,53,0.7376377254875905,0.8684605381614484,0.3407797979665517,0.04127906976744186,53,24
