bin,n,mean_predicted,observed_hurt_rate
0%-10%,7444,0.02194592035675806,0.020553465878559916
10%-20%,522,0.13927774456643738,0.14367816091954022
20%-30%,143,0.2447274804772414,0.2937062937062937
30%-40%,69,0.34067161136114843,0.42028985507246375
40%-50%,39,0.4453371421210943,0.6410256410256411
50%-60%,34,0.5465661359669669,0.8529411764705882
60%-70%,22,0.6471931204258493,0.6363636363636364
70%-80%,14,0.7408527061565816,0.8571428571428571
80%-90%,15,0.8478372567011718,0.9333333333333333
90%-100%,10,0.9581310035111013,1.0
