bin,n,mean_predicted,observed_hurt_rate
0%-10%,5360,0.0377454049885273,0.010261194029850746
10%-20%,1556,0.14215794205665588,0.03470437017994859
20%-30%,656,0.24453382194042206,0.0899390243902439
30%-40%,293,0.34372949600219727,0.13651877133105803
40%-50%,172,0.4403465688228607,0.23255813953488372
50%-60%,104,0.5445505380630493,0.3269230769230769
60%-70%,58,0.6454205513000488,0.5172413793103449
70%-80%,50,0.7492440938949585,0.78
80%-90%,37,0.8455961346626282,0.7297297297297297
90%-100%,26,0.949182391166687,0.9615384615384616
