bin,n,mean_predicted,observed_hurt_rate
0%-10%,7500,0.02155861671679124,0.021066666666666668
10%-20%,469,0.1372212983941001,0.15778251599147122
20%-30%,133,0.24633808620915468,0.2706766917293233
30%-40%,67,0.33929075300636946,0.4626865671641791
40%-50%,44,0.45003541856028684,0.5681818181818182
50%-60%,28,0.551897832023888,0.7142857142857143
60%-70%,20,0.6530706148597181,0.65
70%-80%,18,0.743383721537467,0.8333333333333334
80%-90%,19,0.8442955536322725,0.8947368421052632
90%-100%,14,0.9580047937235598,1.0
