bin,n,mean_predicted,observed_hurt_rate
0%-10%,5860,0.03721125051379204,0.00938566552901024
10%-20%,1369,0.14072474837303162,0.053323593864134405
20%-30%,515,0.24096526205539703,0.1203883495145631
30%-40%,229,0.3403037488460541,0.18340611353711792
40%-50%,110,0.44718557596206665,0.2909090909090909
50%-60%,81,0.5425125360488892,0.4074074074074074
60%-70%,49,0.6524019241333008,0.5510204081632653
70%-80%,36,0.7457987070083618,0.6666666666666666
80%-90%,33,0.8469478487968445,0.8181818181818182
90%-100%,30,0.9449047446250916,0.9333333333333333
