bucket,precision,recall,f1,support,note
ADR,0.7987421383647799,0.774390243902439,0.7863777089783281,164,
C,0.865211810012837,0.689161554192229,0.7672168468981218,978,
E,0.8970866439651911,0.930351186972729,0.9134161610324569,5097,
EQ,0.8159509202453987,0.8562231759656652,0.8356020942408376,466,
FALL,0.902542372881356,0.8875,0.8949579831932774,240,
I,0.9390681003584229,0.6238095238095238,0.7496423462088698,420,
ME,0.8008298755186722,0.8919699595609474,0.8439464334517628,1731,
O,0.9104046242774566,0.9051724137931034,0.9077809798270894,348,
SH,0.0,0.0,0.0,1,"UNRELIABLE: n<30, not statistically meaningful"
SI,0.9453551912568307,0.865,0.9033942558746736,200,
T,0.8957654723127035,0.7902298850574713,0.8396946564885496,348,
