bucket,precision,recall,f1,support,note
ADR,0.8235294117647058,0.7682926829268293,0.7949526813880127,164,
C,0.845771144278607,0.6952965235173824,0.7631874298540965,978,
E,0.8987724268177526,0.9336864822444575,0.915896843725943,5097,
EQ,0.8202479338842975,0.851931330472103,0.8357894736842105,466,
FALL,0.8588235294117647,0.9125,0.8848484848484849,240,
I,0.9548872180451128,0.6047619047619047,0.7405247813411079,420,
ME,0.8043478260869565,0.876372039283651,0.8388166989217584,1731,
O,0.9156976744186046,0.9051724137931034,0.9104046242774566,348,
SH,0.0,0.0,0.0,1,"UNRELIABLE: n<30, not statistically meaningful"
SI,0.9516129032258065,0.885,0.917098445595855,200,
T,0.8808777429467085,0.8074712643678161,0.8425787106446777,348,
